% Model:              Dam breaking on a column.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 13 2023, 01:23
% Table:              Probe Table 1 - 
% Time (s)                                        Pressure force on the column (N), Boundary Probe 1
0.20519115895305673                               2.7818923059239054E-9
0.20661662416449178                               4.546358441624709E-9
0.20804202164495217                               7.429955948233535E-9
0.20946736119395268                               1.2141592813617874E-8
0.2108926524281399                                1.9838246752799937E-8
0.21231792845292585                               3.240778161019836E-8
0.21374315121214144                               5.2927838364684454E-8
0.21516835348112426                               8.641555440582621E-8
0.21659354421373214                               1.4104457560139977E-7
0.21801873221245                                  2.3012537169863484E-7
0.2194439261328519                                3.753246733744983E-7
0.22086913448755507                               6.118945330554557E-7
0.22229435114853469                               9.971561466320597E-7
0.22371961335109045                               1.62429182944384E-6
0.22514491469345094                               2.6446541176962032E-6
0.2265702631392892                                4.303966752472986E-6
0.22799566651867484                               7.000856225634726E-6
0.2294211325285435                                1.1381403487718909E-5
0.23084666873279205                               1.849164558569323E-5
0.23227223594925311                               3.0022495360589128E-5
0.23369793469905867                               4.870518649394357E-5
0.2351237255363651                                7.893955016242005E-5
0.23654961549251483                               1.2779925795848796E-4
0.2379756114650653                                2.0662456819476932E-4
0.23940172021733547                               3.3353607505149947E-4
0.2408279483780421                                5.373783477329859E-4
0.24225422892647883                               8.638470879310518E-4
0.24368071524381502                               0.0013850788091264413
0.2451073400458613                                0.0022142240430293794
0.2465341094209905                                0.003528039869622594
0.2479610293221643                                0.005601575400932908
0.24938810556702237                               0.008862106129697466
0.2508153438381973                                0.013974183644699652
0.2522426536075791                                0.02197529096115751
0.25367023242944636                               0.03449874376773199
0.2550979895191444                                0.0541249193957163
0.2565259300235767                                0.08493476570395601
0.2579540589573055                                0.13331921616744358
0.2593823812035932                                0.20906998509397
0.2608109015152619                                0.3266820810336265
0.2622395091892728                                0.5066399297613253
0.2636684393567586                                0.7764202755254122
0.2650975810760031                                1.170517810259873
0.2665269385895757                                1.729328185469379
0.26795651601608356                               2.496431077456162
0.26938631735153395                               3.514412560645959
0.27081634647086295                               4.819661351292037
0.27224647475002556                               6.436754665571879
0.27367697056392537                               8.37431776282093
0.2751077050766347                                10.620904628401247
0.27653868169593226                               13.144496537560826
0.27796990371720065                               15.893655335190042
0.27940137432526807                               18.80096985178006
0.28083309659626426                               21.788166419152073
0.28226492518722884                               24.771739997409817
0.28369715956109487                               27.670234164978893
0.2851296541937067                                30.40782896935397
0.2865624117458278                                32.920051934810886
0.28799543477938117                               35.156445607045264
0.2894287257592404                                37.082143285127096
0.2908622870550982                                38.678104168426415
0.29229595688037546                               39.9400334305756
0.2937300655145502                                40.87717964611683
0.2951644510215032                                41.509099438356586
0.29659911540931094                               41.863596634757954
0.2980340606003146                                41.97387207040532
0.29946928843293047                               41.87505928187842
0.3009048006637982                                41.601832029095895
0.3023404185900111                                41.19242488836678
0.30377650452305976                               40.678620198410385
0.30521287965790006                               40.09168108016916
0.3066495454658695                                39.45917479307147
0.3080865033612359                                38.80342095967267
0.30952375468766957                               38.1421738864631
0.3109613007167411                                37.48920570026951
0.3123989447425159                                36.85474619592669
0.3138370836716358                                36.24510407993203
0.3152755206794424                                35.666326503479134
0.31671425678133913                               35.12184532760146
0.3181532929348566                                34.6132237779692
0.3195926300329831                                34.14069706720784
0.32103226890392966                               33.70355054709096
0.32247199337254606                               33.30010644059562
0.3239122379590182                                32.92868463336165
0.3253527864132419                                32.5874425851805
0.32679363932955596                               32.27421432121472
0.3282347972437049                                31.98694773975633
0.3296762606504436                                31.723536608106038
0.3311180299971993                                31.48188376423075
0.332559868135356                                 31.259983451543388
0.3340022504618417                                31.055811438156173
0.3354449397841412                                30.867567015952854
0.33688793636118514                               30.69353984737988
0.33833124040668416                               30.532158353410185
0.3397748520898268                                30.38199515101606
0.3412187715359852                                30.24176813702127
0.3426627389974846                                30.110356147863158
0.34410727411943587                               29.986473462961868
0.34555211710720457                               29.869310725076687
0.34699726791202323                               29.75820564618188
0.348442726458506                                 29.652526061176097
0.349888492635082                                 29.551804788139833
0.35133456630397814                               29.455615278210356
0.35278066368231664                               29.363590294005547
0.3542273517412746                                29.275348986146188
0.35567434669762266                               29.190601965711988
0.3571216482934719                                29.109074811617454
0.35856925624227953                               29.030522998195934
0.36001717022954827                               28.95472866084821
0.3614653862958473                                28.881495030252903
0.3629139113079931                                28.810461368656135
0.36436274124061474                               28.741491553882387
0.365811875666947                                 28.674568657571374
0.36726131414986213                               28.60962745032156
0.36871105623494277                               28.546490711972005
0.3701611014403893                                28.4851626694311
0.3716114157123559                                28.42561974490416
0.3730620656769329                                28.367816299835717
0.37451301726488756                               28.311701021973633
0.37596426995598                                  28.257216168836457
0.37741582322166006                               28.20430187948597
0.3788676765270784                                28.1528980084346
0.38031982933336034                               28.102945323169724
0.3817722153452515                                28.054384247386576
0.3832249655204518                                28.00698352857159
0.3846780135687879                                27.96065576836908
0.3861313589507457                                27.915456875321304
0.38758500115114014                               27.871450081834272
0.38903893968113407                               27.82865843645566
0.39049317407875056                               27.787080392697295
0.39194760382195987                               27.746701685814987
0.3934024286793834                                27.70748978997056
0.39485754823005764                               27.669413999580836
0.3963129621749761                                27.632436471790324
0.39776867027404234                               27.596516613769737
